id,creation_date_time,resolution_date_time,res_time,priority,urgency,assigned_organization,inc_type
1956,08/04/2021 18:20:00+05,08/04/2021 18:20:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1957,08/04/2021 18:24:00+05,08/04/2021 18:24:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1958,08/04/2021 18:36:00+05,19/04/2021 19:21:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
1959,08/04/2021 18:48:00+05,08/04/2021 18:48:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1960,08/04/2021 18:31:00+05,09/04/2021 11:36:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
1961,08/04/2021 18:47:00+05,09/04/2021 07:50:00+05,,Media,3-Medio,Mantenimiento Corporativa y RRHH,DATA ISSUE
1962,08/04/2021 18:40:00+05,08/04/2021 18:40:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1963,08/04/2021 18:51:00+05,15/04/2021 16:41:00+05,,Baja,4-Baja,Mantenimiento Dir. Técnica,SOFTWARE FAILURE
1964,08/04/2021 18:43:00+05,12/04/2021 10:53:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
1965,08/04/2021 18:53:00+05,08/04/2021 18:53:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1966,08/04/2021 19:43:00+05,08/04/2021 19:43:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1967,08/04/2021 18:51:00+05,08/04/2021 18:51:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1968,08/04/2021 18:59:00+05,08/04/2021 18:59:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1969,08/04/2021 18:56:00+05,08/04/2021 18:56:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1970,08/04/2021 19:06:00+05,08/04/2021 19:06:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1971,08/04/2021 19:01:00+05,09/04/2021 13:46:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
1972,08/04/2021 19:22:00+05,08/04/2021 19:22:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1973,08/04/2021 19:09:00+05,08/04/2021 19:09:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1974,08/04/2021 19:24:00+05,08/04/2021 19:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1975,08/04/2021 20:22:00+05,08/04/2021 20:22:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1976,08/04/2021 19:27:00+05,09/04/2021 07:16:00+05,,Baja,4-Baja,Mantenimiento Dir. Técnica,ACCESS FAILURE
1977,08/04/2021 19:35:00+05,12/04/2021 12:27:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
1978,08/04/2021 19:54:00+05,08/04/2021 19:54:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1979,08/04/2021 20:15:00+05,09/04/2021 09:06:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
1980,08/04/2021 20:27:00+05,08/04/2021 20:27:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1981,08/04/2021 20:28:00+05,08/04/2021 20:28:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1982,08/04/2021 21:38:00+05,08/04/2021 21:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1983,08/04/2021 21:29:00+05,08/04/2021 21:47:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1984,08/04/2021 22:00:00+05,08/04/2021 22:00:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1985,08/04/2021 22:27:00+05,08/04/2021 22:27:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1986,08/04/2021 22:37:00+05,09/04/2021 14:11:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
1987,08/04/2021 22:46:00+05,08/04/2021 22:46:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1988,08/04/2021 23:05:00+05,08/04/2021 23:05:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1989,08/04/2021 23:24:00+05,19/04/2021 19:46:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
1990,08/04/2021 23:38:00+05,09/04/2021 16:58:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
1991,08/04/2021 23:49:00+05,09/04/2021 00:04:00+05,,Media,2-Alta,Unidad de Operaciones Ordenadores,ACCESS FAILURE
1992,09/04/2021 00:35:00+05,,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
1993,09/04/2021 01:34:00+05,09/04/2021 09:25:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,ACCESS FAILURE
1994,09/04/2021 01:58:00+05,09/04/2021 01:58:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
1995,09/04/2021 02:40:00+05,09/04/2021 02:48:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,TELEPHONY FAILURE
1996,09/04/2021 02:19:00+05,09/04/2021 09:31:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,ACCESS FAILURE
1997,09/04/2021 02:52:00+05,,,Media,3-Medio,Mantenimiento Comercial y CRM,SOFTWARE FAILURE
1998,09/04/2021 03:31:00+05,09/04/2021 05:22:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
1999,09/04/2021 05:31:00+05,09/04/2021 05:31:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2000,09/04/2021 06:07:00+05,09/04/2021 06:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2001,09/04/2021 06:42:00+05,09/04/2021 15:41:00+05,,Alta,2-Alta,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
2002,09/04/2021 06:14:00+05,09/04/2021 06:14:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2003,09/04/2021 06:56:00+05,14/04/2021 11:43:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2004,09/04/2021 07:04:00+05,12/04/2021 16:30:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,DEFAULT
2005,09/04/2021 07:33:00+05,,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
2006,09/04/2021 07:36:00+05,12/04/2021 17:31:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
2007,09/04/2021 08:15:00+05,09/04/2021 08:15:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2008,09/04/2021 07:51:00+05,09/04/2021 07:51:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2009,09/04/2021 08:06:00+05,09/04/2021 08:12:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2010,09/04/2021 08:19:00+05,09/04/2021 08:19:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2011,09/04/2021 08:29:00+05,09/04/2021 08:29:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
2012,09/04/2021 09:04:00+05,09/04/2021 09:04:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2013,09/04/2021 08:38:00+05,,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
2014,09/04/2021 09:02:00+05,15/04/2021 10:50:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2015,09/04/2021 09:25:00+05,09/04/2021 15:09:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2016,09/04/2021 09:51:00+05,09/04/2021 09:51:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2017,09/04/2021 09:42:00+05,13/04/2021 15:00:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2018,09/04/2021 09:59:00+05,09/04/2021 09:59:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2019,09/04/2021 09:50:00+05,13/04/2021 12:51:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2020,09/04/2021 11:07:00+05,09/04/2021 14:24:00+05,,Alta,2-Alta,Unidad Control del Servicio,TELEPHONY FAILURE
2021,09/04/2021 09:51:00+05,09/04/2021 09:51:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2022,09/04/2021 10:15:00+05,12/04/2021 17:02:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
2023,09/04/2021 10:14:00+05,12/04/2021 18:07:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
2024,09/04/2021 10:05:00+05,09/04/2021 10:05:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2025,09/04/2021 10:12:00+05,09/04/2021 10:12:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2026,09/04/2021 10:36:00+05,13/04/2021 15:39:00+05,,Media,3-Medio,Mantenimiento Operaciones,SOFTWARE FAILURE
2027,09/04/2021 10:13:00+05,22/04/2021 17:28:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
2028,09/04/2021 10:10:00+05,09/04/2021 10:10:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2029,09/04/2021 10:41:00+05,,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,DATA ISSUE
2030,09/04/2021 10:24:00+05,09/04/2021 10:24:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2031,09/04/2021 10:24:00+05,09/04/2021 10:24:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2032,09/04/2021 10:45:00+05,12/04/2021 09:11:00+05,,Baja,4-Baja,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
2033,09/04/2021 11:00:00+05,12/04/2021 11:17:00+05,,Media,3-Medio,Mantenimiento Pasaje,SOFTWARE FAILURE
2034,09/04/2021 10:24:00+05,09/04/2021 14:17:00+05,,Baja,4-Baja,Mantenimiento Pasaje,COMMUNICATIONS FAILURE
2035,09/04/2021 11:04:00+05,09/04/2021 11:04:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2036,09/04/2021 10:31:00+05,09/04/2021 13:41:00+05,,Baja,4-Baja,Mantenimiento BI,SOFTWARE FAILURE
2037,09/04/2021 10:47:00+05,09/04/2021 13:55:00+05,,Media,3-Medio,Mantenimiento BI,PERFORMANCE ISSUE
2038,09/04/2021 11:05:00+05,12/04/2021 08:46:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,COMMUNICATIONS FAILURE
2039,09/04/2021 11:24:00+05,09/04/2021 13:55:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2040,09/04/2021 10:58:00+05,09/04/2021 11:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2041,09/04/2021 11:05:00+05,09/04/2021 11:05:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2042,09/04/2021 11:11:00+05,29/04/2021 13:56:00+05,,Media,3-Medio,Unidad Seguridad Informática,SECURITY ISSUE
2043,09/04/2021 11:27:00+05,15/04/2021 17:00:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2044,09/04/2021 11:16:00+05,09/04/2021 11:16:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2045,09/04/2021 11:48:00+05,09/04/2021 11:48:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
2046,09/04/2021 11:31:00+05,09/04/2021 11:31:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2047,09/04/2021 11:48:00+05,09/04/2021 16:57:00+05,,Media,3-Medio,Mantenimiento Corporativa y RRHH,DATA ISSUE
2048,09/04/2021 11:41:00+05,12/04/2021 11:40:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,DEFAULT
2049,09/04/2021 11:52:00+05,09/04/2021 11:52:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2050,09/04/2021 11:46:00+05,09/04/2021 12:09:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
2051,09/04/2021 11:52:00+05,09/04/2021 11:52:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2052,09/04/2021 11:55:00+05,09/04/2021 12:24:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
2053,09/04/2021 11:53:00+05,09/04/2021 11:53:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2054,09/04/2021 11:58:00+05,14/04/2021 18:04:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
2055,09/04/2021 12:40:00+05,,,Media,3-Medio,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
2056,09/04/2021 12:16:00+05,09/04/2021 12:16:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2057,09/04/2021 12:25:00+05,,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
2058,09/04/2021 12:41:00+05,09/04/2021 13:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2059,09/04/2021 12:32:00+05,09/04/2021 17:05:00+05,,Media,2-Alta,Mantenimiento Pasaje,SOFTWARE FAILURE
2060,09/04/2021 13:01:00+05,09/04/2021 13:30:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
2061,09/04/2021 12:32:00+05,09/04/2021 12:32:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
2062,09/04/2021 13:01:00+05,09/04/2021 17:24:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2063,09/04/2021 12:58:00+05,12/04/2021 14:35:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,ACCESS FAILURE
2064,09/04/2021 13:10:00+05,09/04/2021 13:10:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2065,09/04/2021 12:55:00+05,09/04/2021 12:55:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2066,09/04/2021 13:01:00+05,09/04/2021 18:35:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
2067,09/04/2021 10:01:00+05,09/04/2021 15:33:00+05,,Alta,2-Alta,Unidad de Operaciones Ordenadores,SOFTWARE FAILURE
2068,09/04/2021 09:25:00+05,09/04/2021 11:14:00+05,,Baja,4-Baja,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
2069,09/04/2021 09:20:00+05,09/04/2021 15:27:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2070,09/04/2021 09:21:00+05,19/04/2021 19:53:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
2071,09/04/2021 09:13:00+05,19/04/2021 08:20:00+05,,Baja,4-Baja,Mantenimiento Financiero,PROCESS FAILURE
2072,09/04/2021 09:19:00+05,09/04/2021 11:19:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
2073,09/04/2021 09:34:00+05,09/04/2021 10:18:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
2074,09/04/2021 11:13:00+05,09/04/2021 11:13:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2075,09/04/2021 09:57:00+05,09/04/2021 13:33:00+05,,Baja,4-Baja,Mantenimiento Pasaje,DEFAULT
2076,09/04/2021 10:06:00+05,09/04/2021 10:15:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE WARNING
2077,09/04/2021 10:11:00+05,16/04/2021 11:14:00+05,,Media,3-Medio,Mantenimiento Cargo,SOFTWARE FAILURE
2078,09/04/2021 10:05:00+05,09/04/2021 14:58:00+05,,Baja,4-Baja,Mantenimiento Financiero,ACCESS FAILURE
2079,09/04/2021 10:06:00+05,14/04/2021 12:10:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
2080,09/04/2021 10:13:00+05,09/04/2021 10:13:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2081,09/04/2021 10:25:00+05,09/04/2021 11:11:00+05,,Baja,4-Baja,Mantenimiento Pasaje,COMMUNICATIONS FAILURE
2082,09/04/2021 10:49:00+05,09/04/2021 10:49:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2083,09/04/2021 10:49:00+05,09/04/2021 12:43:00+05,,Media,3-Medio,Mantenimiento Dir. Técnica,SOFTWARE FAILURE
2084,09/04/2021 11:06:00+05,09/04/2021 11:06:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2085,09/04/2021 11:12:00+05,09/04/2021 11:12:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2086,09/04/2021 11:38:00+05,09/04/2021 11:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2087,09/04/2021 11:30:00+05,12/04/2021 18:10:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
2088,09/04/2021 11:28:00+05,09/04/2021 11:28:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2089,09/04/2021 11:38:00+05,09/04/2021 12:53:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2090,09/04/2021 11:42:00+05,09/04/2021 16:09:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
2091,09/04/2021 11:41:00+05,09/04/2021 11:41:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2092,09/04/2021 11:46:00+05,09/04/2021 12:29:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
2093,09/04/2021 11:43:00+05,09/04/2021 11:43:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2094,09/04/2021 12:14:00+05,09/04/2021 15:06:00+05,,Baja,4-Baja,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
2095,09/04/2021 12:22:00+05,09/04/2021 12:22:00+05,,Baja,4-Baja,Unidad Control del Servicio,PERFORMANCE ISSUE
2096,09/04/2021 11:56:00+05,09/04/2021 11:56:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2097,09/04/2021 11:57:00+05,09/04/2021 12:33:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
2098,09/04/2021 12:29:00+05,09/04/2021 12:29:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2099,09/04/2021 12:09:00+05,14/04/2021 11:08:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
2100,09/04/2021 12:22:00+05,09/04/2021 12:22:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2101,09/04/2021 12:39:00+05,09/04/2021 12:58:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
2102,09/04/2021 12:33:00+05,09/04/2021 12:33:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2103,09/04/2021 12:44:00+05,09/04/2021 12:44:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2104,09/04/2021 13:36:00+05,19/04/2021 04:51:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2105,09/04/2021 13:06:00+05,09/04/2021 13:06:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2106,09/04/2021 13:37:00+05,15/04/2021 14:43:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,SOFTWARE FAILURE
2107,09/04/2021 13:26:00+05,22/04/2021 04:36:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,PRINTING FAILURE
2108,09/04/2021 13:23:00+05,13/04/2021 12:19:00+05,,Baja,4-Baja,Mantenimiento Dir. Técnica,SOFTWARE FAILURE
2109,09/04/2021 13:30:00+05,09/04/2021 13:30:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2110,09/04/2021 14:07:00+05,13/04/2021 16:34:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,DATA ISSUE
2111,09/04/2021 13:56:00+05,21/04/2021 15:36:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,DATA ISSUE
2112,09/04/2021 13:37:00+05,09/04/2021 16:10:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
2113,09/04/2021 13:38:00+05,09/04/2021 13:38:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2114,09/04/2021 14:02:00+05,13/04/2021 10:57:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2115,09/04/2021 13:54:00+05,20/04/2021 08:28:00+05,,Media,3-Medio,Mantenimiento Aeropuertos,SOFTWARE FAILURE
2116,09/04/2021 14:18:00+05,30/04/2021 10:56:00+05,,Baja,4-Baja,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2117,09/04/2021 13:58:00+05,,,Baja,4-Baja,Mantenimiento Cargo,SOFTWARE FAILURE
2118,09/04/2021 14:09:00+05,12/04/2021 16:35:00+05,,Media,3-Medio,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
2119,09/04/2021 14:21:00+05,12/04/2021 17:21:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2120,09/04/2021 14:19:00+05,09/04/2021 14:19:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2121,09/04/2021 14:11:00+05,,,Baja,4-Baja,MANTENIMIENTO IB.COM,SOFTWARE FAILURE
2122,09/04/2021 14:39:00+05,09/04/2021 14:39:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2123,09/04/2021 15:01:00+05,09/04/2021 15:01:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2124,09/04/2021 14:16:00+05,14/04/2021 08:23:00+05,,Media,3-Medio,Mantenimiento Herramientas IT & DBAs,SOFTWARE FAILURE
2125,09/04/2021 14:18:00+05,13/04/2021 12:52:00+05,,Baja,4-Baja,Mantenimiento Operaciones,ACCESS FAILURE
2126,09/04/2021 15:35:00+05,09/04/2021 15:35:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2127,09/04/2021 14:38:00+05,09/04/2021 15:41:00+05,,Baja,4-Baja,Mantenimiento Operaciones,SOFTWARE FAILURE
2128,09/04/2021 14:55:00+05,09/04/2021 14:55:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2129,09/04/2021 14:56:00+05,09/04/2021 20:58:00+05,,Alta,2-Alta,Unidad de Instalaciones y Telecomunicaciones,PROCESS FAILURE
2130,09/04/2021 15:22:00+05,09/04/2021 15:42:00+05,,Baja,4-Baja,Unidad de Operaciones Ordenadores,ACCESS FAILURE
2131,09/04/2021 17:40:00+05,09/04/2021 17:40:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2132,09/04/2021 16:09:00+05,14/04/2021 12:12:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
2133,09/04/2021 16:26:00+05,12/04/2021 03:07:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2134,09/04/2021 16:38:00+05,16/04/2021 15:48:00+05,,Media,2-Alta,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
2135,09/04/2021 17:02:00+05,09/04/2021 17:02:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2136,09/04/2021 17:24:00+05,11/04/2021 17:52:00+05,,Alta,2-Alta,Unidad de Instalaciones y Telecomunicaciones,SOFTWARE FAILURE
2137,09/04/2021 13:26:00+05,09/04/2021 13:26:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2138,09/04/2021 13:16:00+05,14/04/2021 11:52:00+05,,Media,3-Medio,Mantenimiento Comercial y CRM,SOFTWARE FAILURE
2139,09/04/2021 13:40:00+05,09/04/2021 14:27:00+05,,Baja,4-Baja,Mantenimiento Pasaje,SOFTWARE FAILURE
2140,09/04/2021 13:22:00+05,09/04/2021 13:22:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2141,09/04/2021 13:55:00+05,09/04/2021 13:55:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2142,09/04/2021 13:48:00+05,09/04/2021 13:48:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2143,09/04/2021 13:29:00+05,15/04/2021 12:09:00+05,,Baja,4-Baja,Mantenimiento Pasaje,DEFAULT
2144,09/04/2021 13:43:00+05,09/04/2021 13:48:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
2145,09/04/2021 13:47:00+05,09/04/2021 13:52:00+05,,Baja,4-Baja,Mantenimiento COBOL,SOFTWARE FAILURE
2146,09/04/2021 13:49:00+05,12/04/2021 16:51:00+05,,Baja,4-Baja,Mantenimiento COBOL,PROCESS FAILURE
2147,09/04/2021 13:57:00+05,,,Baja,4-Baja,MANTENIMIENTO IB.COM,SOFTWARE FAILURE
2148,09/04/2021 14:09:00+05,15/04/2021 16:11:00+05,,Baja,4-Baja,Mantenimiento Corporativa y RRHH,SOFTWARE FAILURE
2149,09/04/2021 14:13:00+05,16/04/2021 13:37:00+05,,Baja,4-Baja,Mantenimiento COBOL,ACCESS FAILURE
2150,09/04/2021 13:58:00+05,09/04/2021 15:23:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
2151,09/04/2021 14:25:00+05,09/04/2021 14:25:00+05,,Baja,4-Baja,Unidad Control del Servicio,ACCESS FAILURE
2152,09/04/2021 15:03:00+05,15/04/2021 05:02:00+05,,Media,3-Medio,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
2153,09/04/2021 15:06:00+05,14/04/2021 13:03:00+05,,Media,2-Alta,Unidad de Instalaciones y Telecomunicaciones,DEFAULT
2154,09/04/2021 14:50:00+05,15/04/2021 13:39:00+05,,Baja,4-Baja,Mantenimiento Dir. Técnica,SOFTWARE FAILURE
2155,09/04/2021 14:57:00+05,12/04/2021 13:19:00+05,,Media,3-Medio,Unidad de Operaciones Ordenadores,PERFORMANCE ISSUE
